Questions,Difficulty Level,Bloom's Taxonomy,Category,Sub Category
what is the name of the tallest mountain in the world,Easy,Remembering,Location,Mountain
where can i find a review of nightmare on elm street in a film journal,Medium,Understanding,Location,Other
what  s the slowest olympic swimming stroke,Medium,Understanding,Entity,Technology or method
what was the name of the first russian astronaut to do a spacewalk,Medium,Remembering,Human,Individual
what disease is transmitted by the anopheles mosquito,Medium,Remembering,Entity,Disease or medical condition
what rum is so    mixable    it is a one brand bar,Easy,Remembering,Entity,Food
how many south american countries have the letter z in their names,Medium,Understanding,Numeric,Count
what is the contents of proposition   ,Easy,Remembering,Description,Definition
where was george washington born,Medium,Understanding,Location,Other
how many people on the ground were killed from the bombing of pan am flight     over lockerbie   scotland   december      cd  ,Medium,Understanding,Numeric,Count
who wrote nn dt nnp nnp   ,Easy,Remembering,Human,Individual
what is paracetamol,Easy,Remembering,Description,Definition
what are the powers and weaknesses of green lantern  s ring,Medium,Understanding,Description,Description
which mosquito  s bite draws blood   dt nn cc dt nn  ,Medium,Understanding,Entity,Animal
when was the first steel mill in the united states built,Medium,Understanding,Numeric,Date
what diminutive american female gymnast stole the show at the      olympics,Medium,Understanding,Human,Individual
what is the origin of the name katie,Easy,Remembering,Description,Description
what schools in the washington   dc nn nn vbp nn nn nn nn  ,Medium,Understanding,Human,Groups
when did the berlin wall go up,Hard,Analyzing,Numeric,Date
who is terrence malick,Easy,Remembering,Human,Description
what instrument is ray charles best known for playing,Easy,Remembering,Entity,Instrument
what  s the meaning of the latin battle cry   ad arma   ad arma  ,Medium,Understanding,Description,Definition
what is the mascot for notre dame university,Easy,Remembering,Entity,Other
what las vegas hotel burned in november          with the loss of    lives,Medium,Understanding,Location,Other
when did mount st  helen last have a significant eruption,Medium,Evaluating,Numeric,Date
cnn is the abbreviation for what,Easy,Remembering,Abbreviation,Expression
when did world war i start,Medium,Understanding,Numeric,Date
how many feet are there in a fathom,Medium,Understanding,Numeric,Count
what is a canada two penny black,Easy,Remembering,Description,Definition
what european city do nicois live in,Medium,Understanding,Location,City
how can i find out what year a beanie baby was introduced,Hard,Understanding,Description,Manner
what is the classic definition of tragic hero,Easy,Remembering,Description,Definition
to what does microsoft  s windows   owe its success,Hard,Understanding,Entity,Other
who was president of afghanistan in     ,Easy,Remembering,Human,Individual
what are other ways of getting stretch marks besides pregnancy   weight loss   and weight lifting,Medium,Understanding,Entity,Technology or method
what did brontosauruses eat,Medium,Understanding,Entity,Food
what color bottles do good rhine wines come in,Medium,Understanding,Entity,Color
who was the lead actress in the movie   sleepless in seattle  ,Easy,Remembering,Human,Individual
who was the   th president of the united states,Medium,Remembering,Human,Individual
who are the two sons of ozzie and harriet nelson,Easy,Understanding,Human,Individual
what is molybdenum,Easy,Remembering,Description,Definition
when is boxing day,Easy,Remembering,Numeric,Date
what is the lowest level of the american judiciary,Easy,Remembering,Entity,Other
when was the battle of the somme fought,Medium,Understanding,Numeric,Date
how many people did randy craft kill,Medium,Understanding,Numeric,Count
what  s the official animal of canada,Medium,Understanding,Entity,Animal
when did spielberg direct    jaws   ,Medium,Understanding,Numeric,Date
what is the size of the largest akita,Easy,Remembering,Numeric,Volume or size
what animal has the biggest eyes,Medium,Understanding,Entity,Animal
what is california  s capital,Easy,Remembering,Location,City
who was the author of the book about computer hackers called    the cuckoo  s egg   tracking a spy through the maze of computer espionage   ,Medium,Remembering,Human,Individual
who was the founding member of the pink floyd band,Easy,Remembering,Human,Individual
what european country is home to the beer producing city of budweis,Easy,Remembering,Location,Country
how do i find the balance of my social security account,Hard,Understanding,Description,Manner
what is the history of valentine  s day cards,Easy,Remembering,Description,Description
where was christopher columbus born,Medium,Understanding,Location,Other
what do italians call florence,Medium,Understanding,Entity,Term or equation
how do you get to the top of the eiffel tower,Hard,Understanding,Description,Manner
what does   psi   stand for,Hard,Understanding,Abbreviation,Expression
what sea did the romans call mare nostrum,Medium,Understanding,Location,Other
what  s the term for a bet before cards are dealt,Medium,Understanding,Entity,Term or equation
which came first   according to genesis              the chicken or the egg,Medium,Understanding,Entity,Animal
what city did the flintstones live in,Easy,Understanding,Location,City
what is latin for incompetent,Easy,Remembering,Entity,Term or equation
what chemicals are used in lethal injection,Medium,Understanding,Entity,Disease or medical condition
what toy company is the world  s no   maker of female apparel,Easy,Remembering,Human,Groups
what board game does a    wood pusher    play poorly,Medium,Understanding,Entity,Sport
which doonesbury character was likely to turn into a werewolf,Medium,Understanding,Human,Individual
what is the abbreviation for micro,Easy,Remembering,Abbreviation,Abbreviation
what are the   articles of the constitution,Medium,Understanding,Entity,Other
who has won the most super bowls,Easy,Remembering,Human,Groups
what does nasdaq stand for,Hard,Understanding,Abbreviation,Expression
what is bph,Easy,Remembering,Abbreviation,Expression
what is the fastest commercial automobile that can be bought in the us,Easy,Remembering,Entity,Other
what stadium do the miami dolphins play their home games in,Medium,Understanding,Location,Other
who has the only speaking role in    silent movie   ,Easy,Remembering,Human,Individual
why is poop sometimes different colors,Easy,Remembering,Description,Reason
what was einstein  s iq,Medium,Understanding,Numeric,Other
what day was pearl harbor attacked in     ,Medium,Understanding,Numeric,Date
what girl  s name is    teddy    an affectionate form of,Medium,Remembering,Human,Individual
what state is john f  kennedy buried in,Easy,Remembering,Location,State or province
what is the best way to remove wallpaper,Easy,Remembering,Entity,Technology or method
what u s  state has an element named for it,Medium,Creating,Location,State or province
what company tabulates the ballots in voting for the academy awards,Hard,Creating,Human,Groups
how did the tradition of best man start,Medium,Understanding,Description,Manner
how many years ago did the ship titanic sink,Hard,Understanding,Numeric,Count
what is the deepest area of the arctic ocean,Easy,Remembering,Location,Other
what are halloween  s colors,Medium,Understanding,Entity,Color
how is silk screening done,Easy,Remembering,Description,Manner
what is the latitude and longitude of el paso   texas,Easy,Remembering,Numeric,Other
who made a boat out of gopher wood,Easy,Remembering,Human,Individual
where can i find a    fifth element    screensaver,Hard,Understanding,Location,Other
which bloom county resident wreaks havoc with a computer,Medium,Understanding,Human,Individual
how do you match a name to a social security number,Medium,Understanding,Description,Manner
how does a rainbow form,Hard,Understanding,Description,Manner
what is the normal resting heart rate of a healthy adult,Easy,Remembering,Numeric,Other
what is the population of ohio,Easy,Remembering,Numeric,Other
how many calories are there in a big mac,Medium,Understanding,Numeric,Count
hazmat stands for what,Medium,Understanding,Description,Definition
what creature scares people in the film    jaws   ,Medium,Understanding,Entity,Animal
what part did john peter zenger play in the deveopment of the newspaper in america,Medium,Remembering,Human,Individual
who followed caesar,Easy,Remembering,Human,Individual
what are the four elements,Medium,Understanding,Entity,Substance
who was the first woman golfer to earn a million,Easy,Remembering,Human,Individual
what  s the tallest piece on a chessboard,Medium,Understanding,Entity,Other
what is answers com  s address,Easy,Remembering,Location,Other
where can i buy movies on videotape online,Medium,Understanding,Location,Other
who does the advertizing for frito lay,Hard,Remembering,Human,Individual
who is the leading competitor of trans union company,Easy,Remembering,Human,Groups
what product did robert conrad dare people to knock off his shoulder,Medium,Understanding,Entity,Product
who invented the radio,Easy,Remembering,Human,Individual
what  s the american dollar equivalent for   pounds in the u k ,Hard,Understanding,Numeric,Count
what are the different approaches of systems analysis,Medium,Understanding,Entity,Technology or method
how do doctors diagnose bone cancer,Hard,Understanding,Description,Manner
who is the man behind the pig the man who pulls the strings and speaks for miss piggy,Easy,Remembering,Human,Individual
what is the speed of the mississippi river,Easy,Remembering,Numeric,Speed
what are the developmental stages of a swimmer,Medium,Understanding,Entity,Other
what actor first portrayed james bond,Medium,Understanding,Human,Individual
what ocean is the largest in the world,Easy,Remembering,Location,Other
who was the first american poet to win the nobel prize for literature   in     ,Easy,Remembering,Human,Individual
what year did jack nicklaus join the professional golfers association tour,Medium,Understanding,Numeric,Date
how many sonnets did shakespeare write,Medium,Understanding,Numeric,Count
what causes the redness in your cheeks when you blush,Medium,Understanding,Description,Reason
who won the nobel peace prize in     ,Easy,Remembering,Human,Individual
who are the challengers of the unknown,Medium,Understanding,Human,Groups
define the pheonix club,Medium,Understanding,Description,Definition
which city did christian crusaders fight to recapture from the muslims,Medium,Remembering,Location,City
what does it mean    rupee depreciates   ,Medium,Understanding,Description,Definition
what gaming devices were dubbed    mississippi marbles    and    memphis dominoes   ,Medium,Understanding,Entity,Other
who was the first coach of the cleveland browns,Easy,Remembering,Human,Individual
how successful is arometherapy,Easy,Remembering,Description,Manner
what jewish holiday saw the start of the      mideast war,Medium,Understanding,Entity,Event
how does a copier work,Hard,Understanding,Description,Manner
what is the speed of the mississippi river,Easy,Remembering,Numeric,Speed
who said of super bowl iii in           we  ll win  i guarantee it   ,Easy,Remembering,Human,Individual
what is dudley do right  s horse  s name,Easy,Remembering,Entity,Animal
who declared      i am down on whores and i shan  t stop ripping them   ,Medium,Remembering,Human,Individual
where does chocolate come from,Hard,Understanding,Location,Other
what tv game show once saw a contestant admit to picking his toes in the shower,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what soviet leader owned a rolls royce,Medium,Understanding,Human,Individual
where can i find a case on individuals with disabilities education act of     ,Medium,Understanding,Location,Other
what war did florence nightingale tend the troops in,Medium,Understanding,Entity,Event
who wrote the song      stardust   ,Easy,Remembering,Human,Individual
how many beatles   records went   ,Hard,Understanding,Numeric,Count
who is the only prime minister of canada to serve    years but not necessarily consecutively,Easy,Remembering,Human,Individual
what is the abbreviation of the company name   general motors  ,Easy,Remembering,Abbreviation,Abbreviation
what mountains lie between the arkansas and missouri rivers,Hard,Understanding,Location,Mountain
who received the will rogers award in     ,Easy,Remembering,Human,Individual
what is the function of ram,Easy,Remembering,Description,Reason
what  s the closest g  spectrum yellow dwarf to earth,Medium,Understanding,Location,Other
how many equal angles are there in an isosceles triangle,Medium,Understanding,Numeric,Count
what is the fear of cockroaches called,Easy,Remembering,Entity,Disease or medical condition
what cbs soap opera was interrupted by the bulletin of john f  kennedy  s assassination,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what is the use of a    hour clock instead of a    hour clock,Easy,Remembering,Description,Description
what was the name of the lawyer who represented randy craft,Medium,Remembering,Human,Individual
what united states president had dreamed that he was assassinated,Medium,Understanding,Human,Individual
what film did lee marvin win the      best actor oscar for,Medium,Understanding,Entity,"Currency, monetary value, or gem"
where is basque country located,Easy,Remembering,Location,Other
what product does    mrs  olsen    promote,Medium,Understanding,Entity,Product
what time of day did emperor hirohito die,Medium,Understanding,Numeric,Date
what is dry ice,Easy,Remembering,Description,Definition
what  s the most powerful card in euchre,Medium,Understanding,Entity,Other
what does    intractable plantar keratoma    mean,Medium,Understanding,Description,Definition
how many years did it take james joyce to write ulysses,Medium,Creating,Numeric,Count
what crop failure caused the irish famine,Medium,Understanding,Entity,Food
what south korean city is served by kimpo international airport,Easy,Remembering,Location,City
how many types of dogs   tails are there   three,Medium,Understanding,Numeric,Count
what is the longest running television series,Easy,Remembering,Entity,"Currency, monetary value, or gem"
what predators exist on antarctica,Medium,Understanding,Entity,Animal
what is the difference between a generator and an alternator,Easy,Remembering,Description,Description
how is energy created,Easy,Remembering,Description,Manner
what beer advertised that it had    three rings   ,Medium,Remembering,Entity,Food
what is the quantity of american soldiers still unaccounted for from the vietnam war,Easy,Remembering,Numeric,Other
what golfing accessory was patented by george grant on december   ,Medium,Understanding,Entity,Technology or method
what are the different types of plastic,Medium,Understanding,Entity,Other
how is it correct to say   qigong  ,Easy,Remembering,Description,Manner
what was the highest mountain on earth before mount everest was discovered,Medium,Remembering,Location,Mountain
where was the ligurian republic             ,Hard,Analyzing,Location,Other
what country  s people are the top television watchers,Medium,Understanding,Location,Country
when was the women  s suffrage amendment ratified,Medium,Understanding,Numeric,Date
what polynesian people inhabit new zealand,Medium,Understanding,Human,Groups
what movie tour of the roman empire features the admonition      row well and live   ,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what nevada center has been dubbed the biggest little city in the world,Easy,Remembering,Location,City
what president lived at     north delaware street   independence   missouri,Medium,Understanding,Human,Individual
give a reason for american indians oftentimes dropping out of school  ,Medium,Understanding,Description,Reason
where must a soccer goalie stand to be permitted to handle the ball,Medium,Creating,Location,Other
what is the difference between classical conditioning and operant conditioning,Easy,Remembering,Description,Description
in what u s  state was the first woman governor elected,Medium,Understanding,Location,State or province
what are some interesting facts and information about dogsledding,Medium,Understanding,Description,Description
what year did hitler die,Medium,Understanding,Numeric,Date
what famous model was married to billy joel,Medium,Understanding,Human,Individual
what kind of animal is babar,Medium,Understanding,Entity,Animal
what is jane goodall known for,Easy,Remembering,Description,Reason
what killed bob marley,Medium,Understanding,Entity,Other
how much money are dumbo  s ears insured for,Hard,Understanding,Numeric,Money
who danced into stardom with fred astaire in       s you  ll never get rich,Medium,Remembering,Human,Individual
who is stein eriksen,Easy,Remembering,Human,Description
what does the name billie mean,Hard,Remembering,Description,Definition
who is the fastest swimmer in the world,Easy,Remembering,Human,Individual
what is the highest peak in africa,Easy,Remembering,Location,Mountain
where is procter & gamble headquartered in the u s ,Easy,Remembering,Location,Other
what desert has been called the garden of allah,Medium,Understanding,Location,Other
